playerID,yearID,gameNum,gameID,teamID,lgID,GP,startingPos
morrija02,1985,0,ALS198507160,DET,AL,1,1
fiskca01,1985,0,ALS198507160,CHA,AL,1,2
murraed02,1985,0,ALS198507160,BAL,AL,1,3
whitalo01,1985,0,ALS198507160,DET,AL,1,4
brettge01,1985,0,ALS198507160,KCA,AL,1,5
ripkeca01,1985,0,ALS198507160,BAL,AL,1,6
riceji01,1985,0,ALS198507160,BOS,AL,1,7
henderi01,1985,0,ALS198507160,NYA,AL,1,8
winfida01,1985,0,ALS198507160,NYA,AL,1,9
baineha01,1985,0,ALS198507160,CHA,AL,1,
blylebe01,1985,0,ALS198507160,CLE,AL,1,
boggswa01,1985,0,ALS198507160,BOS,AL,1,
bradlph01,1985,0,ALS198507160,SEA,AL,1,
brunato01,1985,0,ALS198507160,MIN,AL,1,
coopece01,1985,0,ALS198507160,MIL,AL,1,
garcida01,1985,0,ALS198507160,TOR,AL,1,
gedmari01,1985,0,ALS198507160,BOS,AL,1,
hernawi01,1985,0,ALS198507160,DET,AL,1,
howelja01,1985,0,ALS198507160,OAK,AL,0,
keyji01,1985,0,ALS198507160,TOR,AL,1,
mattido01,1985,0,ALS198507160,NYA,AL,1,
molitpa01,1985,0,ALS198507160,MIL,AL,1,
mooredo01,1985,0,ALS198507160,CAL,AL,1,
parrila02,1985,0,ALS198507160,DET,AL,0,
petryda01,1985,0,ALS198507160,DET,AL,1,
stiebda01,1985,0,ALS198507160,TOR,AL,1,
trammal01,1985,0,ALS198507160,DET,AL,1,
wardga01,1985,0,ALS198507160,TEX,AL,1,
whitter01,1985,0,ALS198507160,TOR,AL,1,
hoytla01,1985,0,ALS198507160,SDN,NL,1,1
kennete02,1985,0,ALS198507160,SDN,NL,1,2
garvest01,1985,0,ALS198507160,SDN,NL,1,3
herrto01,1985,0,ALS198507160,SLN,NL,1,4
nettlgr01,1985,0,ALS198507160,SDN,NL,1,5
smithoz01,1985,0,ALS198507160,SLN,NL,1,6
gwynnto01,1985,0,ALS198507160,SDN,NL,1,7
murphda05,1985,0,ALS198507160,ATL,NL,1,8
strawda01,1985,0,ALS198507160,NYN,NL,1,9
andujjo01,1985,0,ALS198507160,SLN,NL,0,
cartega01,1985,0,ALS198507160,NYN,NL,0,
